Season,gmDate,playLNm,playFNm,teamAbbr,teamConf,East_West,teamDiv,teamLoc,teamRslt,Wins,Game_count,teamDayOff,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt
2017,10/26/16,Jones,Terrence,NO,West,1,Southwest,Home,Loss,0,1,0,Terrence Jones,Bench,18,PF,81,252,1/9/92,6,1,0,3,0,0,6,2,0.3333,5,2,0.4,1,0,0,2,2,1,1,2,3,DEN,West,Northwest,Away,Win
2017,10/26/16,Hield,Chavano,NO,West,1,Southwest,Home,Loss,0,1,0,Buddy Hield,Bench,17,SG,77,212,12/17/93,4,3,0,0,0,1,8,2,0.25,5,2,0.4,3,0,0,0,0,0,1,0,1,DEN,West,Northwest,Away,Win
2017,10/26/16,Ajinca,Alexis,NO,West,1,Southwest,Home,Loss,0,1,0,Alexis Ajinca,Bench,11,C,84,220,5/6/88,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,DEN,West,Northwest,Away,Win
2017,10/26/16,Galloway,Langston,NO,West,1,Southwest,Home,Loss,0,1,0,Langston Galloway,Bench,11,SG,74,202,12/9/91,5,1,0,1,0,1,5,2,0.4,4,2,0.5,1,0,0,1,1,1,0,2,2,DEN,West,Northwest,Away,Win
2017,10/26/16,Cunningham,Dante,NO,West,1,Southwest,Home,Loss,0,1,0,Dante Cunningham,Bench,9,PF,80,227,4/22/87,0,1,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,DEN,West,Northwest,Away,Win
2017,10/26/16,Adams,Steven,OKC,West,1,Northwest,Away,Win,1,1,0,Steven Adams,Starter,36,C,84,255,7/28/93,16,1,2,3,0,4,16,7,0.4375,16,7,0.4375,0,0,0,2,2,1,2,3,5,PHI,East,Atlantic,Home,Loss
2017,10/26/16,Westbrook,Russell,OKC,West,1,Northwest,Away,Win,1,1,0,Russell Westbrook,Starter,36,PG,75,187,11/12/88,32,9,2,0,0,2,21,11,0.5238,19,10,0.5263,2,1,0.5,11,9,0.8182,1,11,12,PHI,East,Atlantic,Home,Loss
2017,10/26/16,Roberson,André,OKC,West,1,Northwest,Away,Win,1,1,0,André Roberson,Starter,32,SG,79,206,12/4/91,1,3,0,2,1,3,2,0,0,2,0,0,0,0,0,4,1,0.25,2,5,7,PHI,East,Atlantic,Home,Loss
2017,10/26/16,Oladipo,Kehinde,OKC,West,1,Northwest,Away,Win,1,1,0,Victor Oladipo,Starter,26,SG,76,215,5/4/92,10,1,3,0,1,2,16,4,0.25,11,4,0.3636,5,0,0,3,2,0.6667,2,3,5,PHI,East,Atlantic,Home,Loss
2017,10/26/16,Sabonis,Domantas,OKC,West,1,Northwest,Away,Win,1,1,0,Domantas Sabonis,Starter,16,PF,83,240,5/3/96,5,0,0,0,0,2,5,2,0.4,2,1,0.5,3,1,0.3333,0,0,0,0,4,4,PHI,East,Atlantic,Home,Loss
2017,10/26/16,Kanter,Enes,OKC,West,1,Northwest,Away,Win,1,1,0,Enes Kanter,Bench,24,C,83,262,5/20/92,17,0,0,1,1,3,14,7,0.5,14,7,0.5,0,0,0,4,3,0.75,5,7,12,PHI,East,Atlantic,Home,Loss
2017,10/26/16,Singler,Kyle,OKC,West,1,Northwest,Away,Win,1,1,0,Kyle Singler,Bench,22,SF,80,230,5/4/88,5,0,1,0,0,2,6,1,0.1667,1,0,0,5,1,0.2,2,2,1,0,1,1,PHI,East,Atlantic,Home,Loss
